Channel,Fiber distance (m),Northing (m),Easting (m),Depth (m)
416,425.6889,4263471.21,334645.11,-1414.49
417,426.7138,4263471.21,334645.13,-1413.47
418,427.7387,4263471.21,334645.15,-1412.44
419,428.7636,4263471.2,334645.18,-1411.42
420,429.7885,4263471.2,334645.2,-1410.39
421,430.8134,4263471.2,334645.22,-1409.37
422,431.8383,4263471.2,334645.25,-1408.35
423,432.8632,4263471.19,334645.28,-1407.32
424,433.8881,4263471.19,334645.3,-1406.3
425,434.913,4263471.19,334645.33,-1405.27
426,435.9379,4263471.19,334645.36,-1404.25
427,436.9629,4263471.18,334645.39,-1403.22
428,437.9878,4263471.18,334645.42,-1402.2
429,439.0127,4263471.18,334645.44,-1401.17
430,440.0376,4263471.18,334645.48,-1400.15
431,441.0625,4263471.18,334645.51,-1399.12
432,442.0874,4263471.17,334645.54,-1398.1
433,443.1123,4263471.17,334645.57,-1397.08
434,444.1372,4263471.17,334645.6,-1396.05
435,445.1621,4263471.17,334645.63,-1395.03
436,446.187,4263471.17,334645.66,-1394
437,447.2119,4263471.17,334645.7,-1392.98
438,448.2368,4263471.17,334645.73,-1391.95
439,449.2617,4263471.17,334645.76,-1390.93
440,450.2866,4263471.18,334645.79,-1389.91
441,451.3115,4263471.18,334645.83,-1388.88
442,452.3364,4263471.18,334645.86,-1387.86
443,453.3613,4263471.18,334645.89,-1386.83
444,454.3862,4263471.18,334645.92,-1385.81
445,455.4111,4263471.18,334645.96,-1384.78
446,456.436,4263471.19,334645.99,-1383.76
447,457.4609,4263471.19,334646.02,-1382.74
448,458.4858,4263471.19,334646.05,-1381.71
449,459.5107,4263471.2,334646.09,-1380.69
450,460.5356,4263471.2,334646.12,-1379.66
451,461.5605,4263471.2,334646.15,-1378.64
452,462.5854,4263471.21,334646.18,-1377.61
453,463.6103,4263471.21,334646.21,-1376.59
454,464.6353,4263471.22,334646.24,-1375.56
455,465.6602,4263471.22,334646.27,-1374.54
456,466.6851,4263471.22,334646.3,-1373.52
457,467.71,4263471.23,334646.33,-1372.49
458,468.7349,4263471.23,334646.36,-1371.47
459,469.7598,4263471.24,334646.39,-1370.44
460,470.7847,4263471.24,334646.42,-1369.42
461,471.8096,4263471.24,334646.45,-1368.39
462,472.8345,4263471.25,334646.48,-1367.37
463,473.8594,4263471.25,334646.51,-1366.34
464,474.8843,4263471.25,334646.54,-1365.32
465,475.9092,4263471.26,334646.57,-1364.29
466,476.9341,4263471.26,334646.6,-1363.27
467,477.959,4263471.26,334646.63,-1362.25
468,478.9839,4263471.27,334646.66,-1361.22
469,480.0088,4263471.27,334646.69,-1360.2
470,481.0337,4263471.27,334646.72,-1359.17
471,482.0586,4263471.27,334646.75,-1358.15
472,483.0835,4263471.28,334646.78,-1357.12
473,484.1084,4263471.28,334646.81,-1356.1
474,485.1333,4263471.28,334646.84,-1355.07
475,486.1582,4263471.28,334646.87,-1354.05
476,487.1831,4263471.28,334646.9,-1353.03
477,488.208,4263471.29,334646.93,-1352
478,489.2329,4263471.29,334646.96,-1350.98
479,490.2578,4263471.29,334646.99,-1349.95
480,491.2828,4263471.29,334647.02,-1348.93
481,492.3077,4263471.29,334647.05,-1347.9
482,493.3326,4263471.29,334647.08,-1346.88
483,494.3575,4263471.29,334647.11,-1345.85
484,495.3824,4263471.29,334647.14,-1344.83
485,496.4073,4263471.29,334647.17,-1343.81
486,497.4322,4263471.29,334647.2,-1342.78
487,498.4571,4263471.29,334647.23,-1341.76
488,499.482,4263471.29,334647.27,-1340.73
489,500.5069,4263471.29,334647.3,-1339.71
490,501.5318,4263471.28,334647.34,-1338.68
491,502.5567,4263471.28,334647.37,-1337.66
492,503.5816,4263471.28,334647.41,-1336.64
493,504.6065,4263471.28,334647.45,-1335.61
494,505.6314,4263471.28,334647.48,-1334.59
495,506.6563,4263471.27,334647.52,-1333.56
496,507.6812,4263471.27,334647.56,-1332.54
497,508.7061,4263471.27,334647.6,-1331.51
498,509.731,4263471.28,334647.63,-1330.49
499,510.7559,4263471.28,334647.67,-1329.47
500,511.7808,4263471.28,334647.71,-1328.44
501,512.8057,4263471.28,334647.75,-1327.42
502,513.8306,4263471.28,334647.79,-1326.39
503,514.8555,4263471.28,334647.82,-1325.37
