sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_035957.680.sgy,split_01_ch4000_4405,4000,4405,0025_RAW_20230719_035957.680,0,split_01_ch4000_4405/0025_RAW_20230719_035957.680/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035957.680.sgy,split_01_ch4000_4405,4000,4405,0025_RAW_20230719_035957.680,1,split_01_ch4000_4405/0025_RAW_20230719_035957.680/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035957.680.sgy,split_01_ch4000_4405,4000,4405,0025_RAW_20230719_035957.680,2,split_01_ch4000_4405/0025_RAW_20230719_035957.680/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035957.680.sgy,split_01_ch4000_4405,4000,4405,0025_RAW_20230719_035957.680,3,split_01_ch4000_4405/0025_RAW_20230719_035957.680/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040051.760.sgy,split_01_ch4000_4405,4000,4405,0026_RAW_20230719_040051.760,0,split_01_ch4000_4405/0026_RAW_20230719_040051.760/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040051.760.sgy,split_01_ch4000_4405,4000,4405,0026_RAW_20230719_040051.760,1,split_01_ch4000_4405/0026_RAW_20230719_040051.760/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040051.760.sgy,split_01_ch4000_4405,4000,4405,0026_RAW_20230719_040051.760,2,split_01_ch4000_4405/0026_RAW_20230719_040051.760/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040051.760.sgy,split_01_ch4000_4405,4000,4405,0026_RAW_20230719_040051.760,3,split_01_ch4000_4405/0026_RAW_20230719_040051.760/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040055.300.sgy,split_01_ch4000_4405,4000,4405,0027_RAW_20230719_040055.300,0,split_01_ch4000_4405/0027_RAW_20230719_040055.300/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_040055.300.sgy,split_01_ch4000_4405,4000,4405,0027_RAW_20230719_040055.300,1,split_01_ch4000_4405/0027_RAW_20230719_040055.300/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
